inn,total_txn,eligible_in_debit,eligible_in_credit
37a377d3c812ba54,54,True,False
381171d83d7a8399,16,True,False
381c729990ab3f87,17,True,False
389b3f6e9121d3ca,38,True,False
38a26bce39784392,25,True,False
38c97042827892a7,19,True,False
3959f2ba64fe2ae6,18,True,False
3a3d44f23987537a,14,True,False
3a4e650dfe0606ed,12,True,False
3adbbdd5374edfe3,18,True,False
3af2393f39b861c7,50,True,False
3aff5c42aeaa0796,11,True,False
3d70bd8d56afb5b4,31,True,False
3e0a47433b7d2b48,34,True,False
3f137893c32d386e,21,True,False
40d17b2f877d3d44,10,True,False
4114e3640f4b1b09,11,True,False
419028ca924998e5,22,False,True
41db53f330c7c4cb,31,True,False
420456b9693e67ea,17,True,False
4266f9cb6239dbea,10,True,False
43791d8a81cedeaa,45,True,False
4379686a22a4b22a,40,True,False
43c4b94647bcde98,17,True,False
43ee4f242d2d2267,17,True,False
44c6455756f6f55c,48,True,False
454ebcdf89b04506,15,True,False
45a1cba872ed0de7,11,True,False
45bbf324d7ef3fa8,16,True,False
45f630894f68ee51,19,True,False
460a62f865283b8e,25,True,False
467e52a7545f2fa3,18,True,False
46db14b732bf0e24,54,True,False
47182192ee9b62d1,19,True,False
47a7ac0d620176c6,17,True,False
480f48fc14876c3d,15,True,False
485561062950b5de,17,True,False
489fa6c56b45b2cb,47,True,False
48b2592ad77aea17,19,True,False
48ba48a629da71f8,35,True,False
490de5c425005496,18,True,False
4a6483bc397d69eb,118,True,False
4a678c081ddefd64,41,True,False
4a6a39da12b76e44,11,True,False
4ac8bb34c7c8aa95,110,True,False
4b423a7b12629149,109,True,False
4b6ad8f03f905549,14,True,False
4c1c5878475fe05f,124,True,False
4caef2945cc37dc7,18,True,False
4d2a031cf6c4e605,10,True,False
4dae20da78808216,12,True,False
4e61062e1ba8fa05,20,True,False
4e68af9d626e29b1,28,True,False
4eb29cb6bca69825,25,True,False
4eb35b9de050edc3,61,False,True
4ebaf163b0072c58,18,True,False
4f7dc77a7ff428d3,36,True,False
50c65bccc5a858a5,16,True,False
50f9e0cd82250640,25,True,False
51af4bbc914e34a8,15,True,False
523cc65c19d89687,12,True,False
5274f79dec10400a,26,True,False
52d44b253ef7f527,16,True,False
531abbee9536e1c1,139,True,False
53a9e700e2d4f1e3,14,True,False
5488249fa99e687e,11,True,False
54ed5b5522fcb78d,18,True,False
54f018fd8c1d9ec6,73,True,False
5565db0f7c31148b,19,True,False
5575def35283b4a0,34,True,False
55c668b7c2680b05,40,True,False
562a9ec100345a99,15,True,False
57828af4d4b2025f,20,True,False
57b39d00281c7d29,38,True,False
57b45406331c27e0,69,True,False
57f7a76eff6256f5,18,True,False
58cf59867d2210b6,22,True,False
58d9097f469e896d,12,True,False
58e6d8ab8c4dbf39,16,False,True
5959612c37e4cb25,23,True,False
59e05aef699af6f5,33,True,False
5b04f15fcef15bf1,10,True,False
5ca662824f972c1f,27,False,True
5d9a4e34224d9f66,20,True,False
5db4f95b7be0b638,13,True,False
5dbfdbf117292fdd,12,True,False
5dc5e32907b83c1b,11,True,False
5e32b13056d4931f,23,True,False
6030de3445dee26f,14,True,False
6076eedb7a836539,32,True,False
616bb95a2e7d9dad,71,True,False
61caf7ebd1581b5a,25,True,False
62baa0194ca54a2e,28,True,False
62ff58a9bb0efe6b,12,False,True
6334fad538d6706a,11,True,False
63b2e762cfeafa47,51,True,False
6458383cbbe40e00,19,True,False
65a8b947b8d10847,14,True,False
65adaaca03040a28,17,True,False
65d1bf2eaf375642,14,True,False
65e76703d660fa49,20,True,False
65f37d6aa16c5da4,82,True,False
66d1eb8add95de0c,37,True,False
6743c169d82bfa90,77,True,False
677dccbfe1f6039c,32,True,False
678e22912c3cf5ce,20,True,False
67c71e2b296dd142,16,True,False
68f1b95b1c213e6d,11,True,False
69005a2caddf1ecf,15,True,False
691044c536db1b6b,25,True,False
6995ab798a4a6a50,14,True,False
69e1e6851baa9d17,37,True,False
6bc4bb6be3fdc57d,31,True,False
6d140207bf61f5a0,32,True,False
6e0dd8539ebe9b31,10,True,False
6eaaca7fb99c9932,41,True,False
6eb4d773e11323e1,18,True,False
6f00d1152b988fcb,179,True,False
6f34f94508ded933,14,True,False
700e6414e18d5418,21,True,False
7030ba32d28c23a0,13,True,False
7153371d56f4ebf6,10,False,False
7164b17ec8ac7ec5,13,True,False
71b0f2645dc39acd,10,True,False
7271b2fa6a0be8d8,18,True,False
73035e7f2828cb14,19,True,False
734afd0ba4813065,259,True,False
738db7b3f74f7cba,11,True,False
73f7bc3ef7d617a7,37,True,False
7419b1c16612c50d,25,True,False
74450736d668a450,43,True,False
746a27f08a635eb4,14,True,False
746a73d489560923,11,True,False
74a4949c3f3e73d6,60,True,False
74b1101a891a1adb,21,True,False
74f172aeb4c09f18,17,True,False
754ba6598f812225,14,True,False
757625d768622cd8,38,True,False
7586130d14353fa9,20,True,False
75b5f31975a83540,18,True,False
76b90565f99c6e7f,28,True,False
775a00d6cc211442,25,True,False
7776b2d3b02a3718,62,True,False
77bf6ac47375e564,27,True,False
78874f63da4b13aa,16,True,False
78b3f18301480e5b,11,True,False
78d1f368fb0faa35,18,True,False
78df8ad5377fcb33,14,True,False
790220b0bd4bcb08,16,True,False
792c01edf0d2e8f3,17,True,False
792c121493eec2ab,35,True,False
793cf99be1f6afb8,14,True,False
7a342fc40fc77662,15,True,False
7ad4b797f29af5f8,21,True,False
7ad675ac1f042e5d,15,True,False
7ad8f717c7c8e7ad,39,True,False
7b64e893c9835286,19,True,False
7be41736d2e77923,39,True,False
7c6a74e47ea81b26,22,True,False
7c82c6243a2136dc,14,True,False
7d4bb86f3acb271c,19,True,False
7d65e62c29d9f12a,33,False,True
7dfaf08c347e091c,49,True,False
7e9ef55d510c4b84,34,True,False
7ee6e228180afd94,21,True,False
7f4c01e1d8242ba4,21,True,False
7f7cca362c8a9191,16,True,False
7f870a2575b3cbdc,180,True,False
7f8a2028e3b3e26c,31,True,False
7fb45df96f63ab19,41,False,True
7fe497e7e4f2f3c7,17,True,False
8050f767e947b7c5,17,True,False
81564fcbfbccf682,15,True,False
8192171ce6b04339,25,True,False
825e287522273f23,17,True,False
82c9959748fc1129,16,True,False
832814f33f978e10,71,True,False
83e74fd36cfedc09,11,True,False
8445daf0feef6460,10,True,False
84e46d1cc50e8d8f,42,True,False
84f8618f11f88209,18,True,False
8555469ccef0c903,12,True,False
86673ec13cd0bc80,36,True,False
867c03d496723ae1,18,True,False
87716d84afec445c,30,True,False
877555dc6a2faae5,26,True,False
88418b4f12b364d5,18,True,False
88847e283c7d01fe,13,True,False
88fd143025c77521,20,True,False
8ad99af10ad10a3e,10,True,False
8b3946cad605a8a8,18,True,False
8c93f1389bde2d33,96,True,False
8cf38a7a0b6b3341,13,True,False
8d4a6bd9f642a743,12,True,False
8d50ac3623bbdcda,17,True,False
8d9e0be733f77f1c,1114,True,True
8daa42e22085f024,33,True,False
8dd4fb7c71e9f885,20,True,False
8e759208a8f60337,20,True,False
8e8da25f451f6b35,67,True,False
8f0624281a2154fc,143,True,False
8f9f9ef5dd67d7d8,27,True,False
8fc8c6dc898d3327,41,True,False
8fe9a176e6d4fc7c,28,True,False
904945b7f3c42bb0,28,True,False
916c5c96acdf60d1,15,True,False
91ce2d95402424c3,149,True,False
9260307a8efe2dc8,38,False,True
9283ee038dd99927,11,True,False
929f4cdde4da9462,18,True,False
92b864963759375e,33,True,False
92f529d63e2fb2dc,84,True,False
934df47d8848edd0,39,True,False
93e4c88973ba6226,19,True,False
9495f396bf58b435,10,True,False
969738d189d3ae3c,19,True,False
9724f279e7c1557e,25,True,False
97ad996583fc259b,20,True,False
97c019f47dbb98d6,19,True,False
97dd35d98882c883,25,True,False
98b4258a80e85798,125,True,False
98bfd1f50a019b3a,19,True,False
98cbb4657478b65e,15,True,False
9a28557483aa4686,25,True,False
9a5cd83b0d2573c8,33,True,False
9a73cb3333b01403,28,True,False
9aeecc60aa2e646a,33,True,False
9b9895892372e37c,17,True,False
9daa86f0e94d387b,11,True,False
9e2fabdf61867f5d,14,True,False
9e688bb17f8a3f9b,17,True,False
9ec71b43fd23e57b,18,True,False
9f5be463ef624bb7,37,True,False
9fe715ae179765bb,19,True,False
a0302d6868277e6e,29,True,False
a0d502493be18fe4,17,True,False
a0fb4dd476cbce37,12,True,False
a1181a6d2edfbddf,12,True,False
a11edb511a83f631,13,True,False
a1ce391f591e13ec,19,True,False
a1f10270810f0343,20,True,False
a256acfcd4e95294,13,True,False
a26049af3464d52b,80,True,False
a2ab99f007a88c2e,62,True,False
a2cfb519ecc0a023,18,True,False
a325fdc99bf97b34,30,True,False
a3380c94eb3351c8,50,True,False
a3ba5457984f06b2,25,True,False
a45210e02fd22dd1,16,True,False
a578f9d58764c967,16,True,False
a5c2aaf9a00e664c,17,True,False
a5f79abcc6795b3a,36,True,False
a6297813cb7f7c06,13,True,False
a655c3578cbd01dc,17,True,False
a657de0a3a3b66ca,15,True,False
a6b2aae44243c416,15,True,False
a6d054e82fc2279d,23,True,False
a6e8b321e60883b9,24,True,False
a7f5b2be4a268464,20,True,False
a845e4e0cc3093cc,20,True,False
a8bf053e464522a7,17,True,False
a9578770315e89d4,12,True,False
a9e7926424e7bc59,40,True,False
aaa04dd4e4b7a439,20,True,False
aaa1ad3a1296e934,26,True,False
aaafe0433252ee9e,85,True,False
aab3bfd2a9c12fbc,24,True,False
aac5ad734e600eb9,76,True,False
ab4d5f85aeee634f,15,False,True
ab8592c98e5aee72,22,True,False
ac50b92c56f08dac,20181,True,True
ac90054d64cbcf90,41,True,False
acf5abf92153faba,24,True,False
ad16184db800271b,55,True,False
ae9ca8713a09647d,17,True,False
af5a803b0a70f3e8,52,False,True
afb2803eb0f71693,15,True,False
afe6ba5775878a83,13,True,False
b0968a38960aca8b,12,True,False
b0a92446e50267e1,27,True,False
b0cc4413ca4ce0b5,14,True,False
