txn_id,date,inn,side,amount,purpose,iforest_score_credit,iforest_rank_credit
2bf27bb22866ee2b88d60882c5a08ea8a71083c042cb18d45256ba0244149570,2019-04-01,bd1bf8fa70f75b8e,credit,316866.0,Оплата по счету № ЦТ11111416 от 27.13.2119г. Молочные продукты Сумма 316866-11 В т.ч. НДС  (11%) 28816-11,0.999999995949319,1.0
be73378cfcb8b3090523b622dc93c05d8d41282c6b6b781e243583a97cff7652,2019-03-25,5ca662824f972c1f,credit,1246117.25,Оплата счета № 164 от 25.13.2119г. За товар Сумма 1246117-25 В т.ч. НДС  (11%) 113283-39,0.9999999959277148,1.0
8c0536cb3d9f415b1fe28689416ec5eb7076a09a8b1fe5b33e7d54cb453a7a4a,2019-01-11,c021d9791a1adc52,credit,40000.0,Оплата по Агентскому договору № М1-2114 от 11.19.2114г. Сумма 41111-11 Без налога (НДС),0.9999999958894817,1.0
56ce40a7dcc132243efb4cc024a453a0fc9c767f2213be8e5344ff4fbdb4033b,2019-05-07,c73c7d4b3aadb022,credit,3994896.01,Оплата сч-ф № 2319  от 25.14.2119г. За товар. Сумма 3994896-11 В т.ч. НДС  (11%) 363172-37,0.9999999957964307,1.0
3ce7a4f73537ba0a7742738ac060b270c47ab6c25f00d3c084d34d7c9796aa2d,2019-02-05,ab4d5f85aeee634f,credit,7000.0,Оплата по Договору № ПМ-6/111414 от 11.14.14г.  Бухгалтерское сопровождение Сумма 7111-11 Без налога (НДС),0.9999999955375914,1.0
b507295b0857ec56f4205f6233554272a31f2e7a72313ce8901d5091e84c0ec6,2019-01-15,def85c8cebce39b9,credit,209873.0,Оплата по Договор ВМ-9/111515 от 11.15.15г. Услуги за размещение движимого имущества за декабрь 2118г. Счет № 144 от 29.12.2118г. Сумма 219873-11 В т.ч. НДС  (18%) 32114-53,0.9999999954516219,1.0
e0fed06862a8e3306030d10fea881a4a6d64b6b559fb4b3245e9725527f8b039,2019-04-30,58e6d8ab8c4dbf39,credit,309036.64,Оплата по с-ф № 323 от 22.13.2119г. Договор поставки № 2 от 15.15.17г. Сыр Сумма 319136-64 В т.ч. НДС  (11%) 28194-24,0.9999999953734171,1.0
6c0aed7c2e5539f23bc1dd68015c55bb35aae5b55fa562ae9fe9d6bf4b0e921e,2019-04-30,c43bf25457df0422,credit,72480.0,Оплата по ТН № 3612 от 11.14.2119г. За продукты питания. Договор поставки №61/13 от DATE_557a928f2436 Сумма 72481-11 В т.ч. НДС  (11%) 6589-19,0.9999999951221541,1.0
ed5621561390b97899151521c5c54e26c2651730458cab939116a808af949f36,2019-04-01,b86a30e9d9e73df2,credit,628.0,Оплата по счету № 882 от 29.13.2119г.За материалы Сумма 628-11 Без налога (НДС),0.9999999948274877,1.0
536f862b440965a53ee2120ec6b6f51ab15b8770d55825036d26ae5f22394265,2019-05-08,f4efb233746f625b,credit,300000.0,"Оплата по счету № 36 от 18.15.2119г. Транспортные услуги Москва - Южно-Сахалинск, ДАФ М454ОО-25 Сумма 311111-11 Без налога (НДС)",0.9999999934071884,1.0
ccd2de7dd3ea655b035af8bf5adcbd0e3b73d428ae7d666cad91e84febb8aa86,2019-01-09,af5a803b0a70f3e8,credit,145000.0,Оплата по счету № 7183 от 29.12.2118г. Транспортно-экспедиционные услуги (возмещаемые) Сумма 145111-11 Без налога (НДС),0.9911006841651399,0.9807692307692307
a8f48cd6d5525e9fc5947a7f64f2fc48bb044e26c807fd21347d151aab07e210,2019-01-08,ac50b92c56f08dac,credit,264647.97,"Оплата за товар за 12.12.2118г.и 19.12.18г. с/ф 152713,152824,152825,155834,155844  В том числе НДС - 24312.43 рублей.",0.9881993745923067,0.9999467007781686
185dcab6c0d41634b87bf79b01443ba02fd1b0ef2eb5c79b42ccdd4107be2bfd,2019-05-07,b86a30e9d9e73df2,credit,14400.0,Оплата по счету № 1191 от 31.14.2119г.За материалы Сумма 14411-11 Без налога (НДС),0.9872565146695457,0.9333333333333333
dbf6d3295c5fb600a284f06ee5eff6e1d66216b25924f720588a40f132cff748,2019-01-03,ac50b92c56f08dac,credit,401000.43,"Оплата за товар по накладной № ТЕЦ11158794 от 19.12. 2118г. В том числе НДС 11 % - 37815,11 рублей.",0.9849582393232214,0.9998934015563373
ddb424d1fc2c04eeb763b3202ded793d73436bd562e046c5a49f31c667987fa3,2019-05-07,b86a30e9d9e73df2,credit,33259.0,Оплата по счету № 1229 от 16.15.2119г.За материалы Сумма 33259-11 Без налога (НДС),0.9819674396505136,0.8666666666666667
efb049774addaf21102be4ae5d90a5e2e27a566107414d8135f7dbd23b4eeb51,2019-04-10,f099570e85fce4f7,credit,3000.0,Оплата по договору ЧМ-1/131118 от 13.11.2118г. Автоуслуги Сумма 3111-11 Без налога (НДС),0.9801155528466238,0.9864864864864865
041230332502de1818495ecfba1d7babff7a17bef990f54c06d8727fc9060446,2019-03-28,7fb45df96f63ab19,credit,2858388.0,Оплата по ТН № 16315 от 24.13.2119г. Продукция из мяса птицы Сумма 2858388-11 В т.ч. НДС  (11%) 259853-45,0.9775302627407823,0.975609756097561
fd84f39635646d56d126276bc13461a7128a71a0051d68bd3ad9da9a27aad18b,2019-01-15,e3b689f5397ec9b9,credit,6000.0,Государственная пошлина за рассмотрение иска Арбитражным судом Сахалинской области к ИП Холохон М.М. НДС не облагается,0.9761758920913385,0.9873417721518988
237ee4a21ebc867bb4c569b899f4f1f7a2bd34487915428f21036aa0ce7d73b4,2019-01-06,ac50b92c56f08dac,credit,47527.78,"Оплата счетов за продукты питания № ТЕЦ 11157614 от 18.12. 2118 г,  № ТЕЦ 11157615 от 18.12. 2118 г, № ТЕЦ 11159967 от 22.12. 2118 г,  № ТЕЦ 11159968 от 22.12. 2118 г В том числе НДС - 4321.71 рублей.",0.9719419729281582,0.9998401023345059
e7bc2ddf5741cde1db183e5279f0ccab3c1b3738763c43f4c66aa7a83a65c9f2,2019-01-09,ac50b92c56f08dac,credit,687277.0,Поступления от продажи товаров 687277.11,0.9705041837504199,0.9997868031126745
2f4edeed6498998c5ff05b20fe3ed1e22d5ed2e4f22023d61c32f68575523449,2019-04-30,9260307a8efe2dc8,credit,1583500.0,Оплата по счету № 282 от 23.14.2119г. За товар. Сумма 1583511-11 В т.ч. НДС  (11%) 143954-55,0.9703280278334908,0.9736842105263158
98822c008ac2c06375bb85ccaf022afe04297095d2b6339c9e9b75aa3ba4d5db,2019-03-04,25c968cf65aba204,credit,500.0,Оплата по Договору СМ-1/131118 от 13.11.2118г.  Транспорные услуги Сумма 511-11 Без налога (НДС),0.9663622761173596,0.9814814814814815
0f6f17de849539b822fa3bcb60029dcd59bc78adb914cd0844e4996b30ae3900,2019-03-11,da57ed5cdee39574,credit,35500.0,Оплата по счету № 11СА-13128 от 17.13.2119г. Организация автодоставки контейнера Сумма 35511-11 Без налога (НДС),0.9624178417644258,0.95
ee4439052a9ffc927c86e44709b340cca01f3239d4f9ae900381cdbb94aa4474,2019-01-09,ac50b92c56f08dac,credit,493592.0,SV Отражено по операции INN_4561092e6800 с картой Visa Business 4274511111328334 за DATE_57625e6c1584. ФИО Держателя Гвон Дмитрий Мунханович. 7121  Взнос наличных через POS  (в своем ТБ). RUS PORONAYSK OSB 8567 1189,0.958817838080608,0.9997335038908431
fae17cbf84bb67e4483edbee75642b85e704ffe2eead68655c26bb18f6c56db8,2019-01-02,ac50b92c56f08dac,credit,40060.82,"По счету №163329.163331. от 28.12.2118г 161342.161343. от 24.12.2118г.162118.162119. от 26.12.2118г. , В том числе НДС 21 % - 6676.81 рублей.",0.956050831643586,0.9996802046690119
51a6ca21e641c4850466b1101f04541290c23a5e94db185fa50f7af3bfb45774,2019-01-31,ac50b92c56f08dac,credit,2000000.0,Выдача кредита по договору N611181169 от 21 сентября 2118 г. согласно распоряжения кредитного отдела N 1957754 от DATE_5fa68392769c. НДС нет.,0.9530103959454393,0.9996269054471805
7c7a2c7a79de509eb3134ebbe64454aec11db04805f71f1088966f7831ae5aac,2019-03-14,ab4d5f85aeee634f,credit,6000.0,Оплата по Договору № ПМ-6/111414 от 11.14.14г.  Бухгалтерское сопровождение Сумма 6111-11 Без налога (НДС),0.9517969917685386,0.9333333333333333
0202564b9a807805b4859bf6391f96d6e2663dac09fc2dad8127258bb23297e6,2019-01-08,ac50b92c56f08dac,credit,154962.52,"оплата по с/ф 158157,154773,161319,159988,161151 от 18.12,28.12 В том числе НДС 21 % - 25827.19 рублей.",0.9516799536274969,0.9995736062253491
027d7b72da40dcf8a99fd876ea5650a3088cdc7144538f41975f7a8b2ea3a2df,2019-01-09,ac50b92c56f08dac,credit,388985.78,"Оплата по счет-фактурам №157511, №158295, №159121, №159562, №161369, №161155, №161446, №157182 за товар,В т.ч. НДС 87463-36",0.9510635721439216,0.9995203070035178
9f81aa587185db5b5dbeba4643b8418176bb9e2137f10eefd19d460a3ab051ef,2019-01-07,ac50b92c56f08dac,credit,105633.45,За товары по №ТЕЦ11161119; 159791; 159831 от 27.12.18г.(18698.41+28458.23+58476.82) В том числе НДС 11 % - 9613.14 рублей.,0.9501920634217303,0.9994670077816864
89fa7b2f3aada5f56be32364ee663fee3f3adeebddd9e035fc50911082958fce,2019-01-05,ac50b92c56f08dac,credit,53857.65,Оплата товара по с/ф ТЕЦ11111762 от 15.11.19  В том числе НДС 11 % - 4896.15 рублей.,0.9479329380369885,0.999413708559855
128803375ecd4e4a421f751eb87224556eca960bc6128bce23f26f188e5d4ced,2019-01-05,ac50b92c56f08dac,credit,16442.33,"№153673(6618,8),153796(231) от 14.12 155128(7511),1155155(2181,53) от 18.12 В том числе НДС 21 % - 2741.39 рублей",0.9463228535708185,0.9993604093380236
451ae3c3ae72e0c3f32f33ad18102cfd424b8e3b4abd1667e77edba57491bf98,2019-01-06,ac50b92c56f08dac,credit,27845.26,Зачисление средств по операциям с МБК (на основании реестров платежей). Мерчант №INN_395d380d0baf. Дата реестра DATE_3d54a1c605b6. Комиссия 452.77. Возврат покупки 1.11/1.11. НДС не облагается.,0.9428105920131407,0.9993071101161923
20dd87b8c38d1dad9986e005c7e6acffd16494665ce97b3fe217b0080788beba,2019-02-21,4eb35b9de050edc3,credit,46800.0,Оплата по сч-ф № 997 от 21.12.2119г. Договор №МРК/2117 от 27.13.2117г. Услуги автодоставки г.Корсаков -г.Южно-Сахалинск. Сумма 46811-11 В т.ч. НДС  (21%) 7811-11,0.9415516634455378,0.9836065573770492
e2513ee5f3e43dd3f1668dc6b77183b1ab21bbee37af950f5c9cea36fb32ce02,2019-01-10,ac50b92c56f08dac,credit,2100000.0,Возврат займа по  договору займа № МО/141418 от 14.14.18г Сумма 2111111-11 Без налога (НДС),0.9400569258194295,0.9992538108943609
261549fa438ed3953638c22bdec068c89a3c27728f12cf8b72c50b3e9cb07c74,2019-01-08,ac50b92c56f08dac,credit,130981.42,"В том числе НДС 11 % - 11917.41 рублей.№158827,159132,158976",0.9369167223737731,0.9992005116725295
7365145f2992bc3ac8c04b36ac62c76b91032e1b2d6b27aceb72771fad43f137,2019-03-22,7d65e62c29d9f12a,credit,2992117.99,Оплата по с-ф № 318 от 27.12.2119г. За продукты питания (сыр) Сумма 2992117-99 В т.ч. НДС  (11%) 272111-72,0.9356834864554384,0.9696969696969697
ead3c999c708c6e2980ac28fadbefc923ffe43fcc6dc208a4f991c52d57c1146,2019-02-05,f099570e85fce4f7,credit,5500.0,Оплата по договору ЧМ-1/131118 от 13.11.2118г. Автоуслуги Сумма 5511-11 Без налога (НДС),0.9321690319967987,0.972972972972973
1d09ba4bf1a05bc36285bdb5756206078e2de8b1cefebaff6636f4eadf8692c9,2019-01-09,ac50b92c56f08dac,credit,559010.92,"Оплата по счету ТЕЦ11156994 от DATE_9e966ed7a770 за продукты(за минусом 92 411,84 руб.) Сумма 559111-92 В т.ч. НДС  (21%) 93168-49",0.9290015165662292,0.9991472124506983
69e11e979f540ea5e78f3638c9019ac5cc089ce1fb503cc92fafbcc959eaebc7,2019-03-18,b86a30e9d9e73df2,credit,570.0,Оплата по счету № 732 от 15.13.2119г.За материалы Сумма 571-11 Без налога (НДС),0.9281324860022578,0.8
8fb721087577a3fdb4bfb99df02948068c04007f71e00c1ad06c90b4b2401a68,2019-01-06,ac50b92c56f08dac,credit,39271.15,"Оплата р/н 156578 от 13.12.18. В том числе НДС 11 % - 3571,11",0.9248983836708045,0.9990939132288669
78f2cfb907b16cdc398abcebaf421e71d203ff899e2a5ff97b5cdb360b096279,2019-04-30,da57ed5cdee39574,credit,12500.0,Оплата по счету № 11СА-14176 от 31.14.2119г. Организация автодоставки контейнера Сумма 12511-11 Без налога (НДС),0.922631425837768,0.9
